Evaluating images in sittingDown directory...
sitting_down1614.jpg is predicted to be sittingDown
sitting_down3995.jpg is predicted to be sittingDown
sitting_down4022.jpg is predicted to be sittingDown
sitting_down424.jpg is predicted to be sittingDown
sitting_down3573.jpg is predicted to be sittingDown
sitting_down5116.jpg is predicted to be sittingDown
sitting_down632.jpg is predicted to be sittingDown
sitting_down2876.jpg is predicted to be sittingDown
sitting_down2692.jpg is predicted to be sittingDown
sitting_down4591.jpg is predicted to be sittingDown
sitting_down3349.jpg is predicted to be lyingOnSide
sitting_down2731.jpg is predicted to be sittingDown
sitting_down1238.jpg is predicted to be sittingDown
sitting_down949.jpg is predicted to be sittingDown
sitting_down1774.jpg is predicted to be sittingDown
sitting_down4630.jpg is predicted to be sittingDown
sitting_down4816.jpg is predicted to be sittingDown
sitting_down551.jpg is predicted to be sittingDown
sitting_down1013.jpg is predicted to be sittingDown
sitting_down1588.jpg is predicted to be sittingDown
sitting_down2903.jpg is predicted to be sittingDown
sitting_down2730.jpg is predicted to be sittingDown
sitting_down5063.jpg is predicted to be sittingDown
sitting_down5711.jpg is predicted to be sittingDown
sitting_down196.jpg is predicted to be sittingDown
sitting_down5842.jpg is predicted to be sittingDown
sitting_down2863.jpg is predicted to be sittingDown
sitting_down627.jpg is predicted to be sittingDown
sitting_down5881.jpg is predicted to be sittingDown
sitting_down5659.jpg is predicted to be lyingOnBelly
sitting_down4209.jpg is predicted to be sittingDown
sitting_down380.jpg is predicted to be sittingDown
sitting_down5498.jpg is predicted to be sittingDown
sitting_down2491.jpg is predicted to be sittingDown
sitting_down4037.jpg is predicted to be sittingDown
sitting_down3980.jpg is predicted to be sittingDown
sitting_down1629.jpg is predicted to be sittingDown
sitting_down1173.jpg is predicted to be sittingDown
sitting_down3764.jpg is predicted to be sittingDown
sitting_down5303.jpg is predicted to be sittingDown
sitting_down5465.jpg is predicted to be sittingDown
sitting_down4753.jpg is predicted to be lyingOnSide
sitting_down341.jpg is predicted to be sittingDown
sitting_down4035.jpg is predicted to be sittingDown
sitting_down1159.jpg is predicted to be sittingDown
sitting_down4790.jpg is predicted to be sittingDown
sitting_down3799.jpg is predicted to be sittingDown
sitting_down157.jpg is predicted to be sittingDown
sitting_down3376.jpg is predicted to be sittingDown
sitting_down1575.jpg is predicted to be sittingDown
sitting_down1213.jpg is predicted to be sittingDown
sitting_down3438.jpg is predicted to be sittingDown
sitting_down84.jpg is predicted to be sittingDown
sitting_down2929.jpg is predicted to be sittingDown
sitting_down5920.jpg is predicted to be sittingDown
sitting_down1763.jpg is predicted to be sittingDown
sitting_down1005.jpg is predicted to be sittingDown
sitting_down2518.jpg is predicted to be sittingDown
sitting_down553.jpg is predicted to be sittingDown
sitting_down4141.jpg is predicted to be sittingDown
sitting_down1788.jpg is predicted to be sittingDown
sitting_down1789.jpg is predicted to be sittingDown
sitting_down4183.jpg is predicted to be sittingDown
sitting_down4815.jpg is predicted to be lyingOnBelly
sitting_down2525.jpg is predicted to be sittingDown
sitting_down234.jpg is predicted to be sittingDown
sitting_down3613.jpg is predicted to be sittingDown
sitting_down46.jpg is predicted to be sittingDown
sitting_down1548.jpg is predicted to be sittingDown
sitting_down744.jpg is predicted to be sittingDown
sitting_down91.jpg is predicted to be sittingDown
sitting_down4424.jpg is predicted to be sittingDown
sitting_down3377.jpg is predicted to be sittingDown
sitting_down5699.jpg is predicted to be sittingDown
sitting_down5841.jpg is predicted to be sittingDown
sitting_down803.jpg is predicted to be sittingDown
sitting_down156.jpg is predicted to be sittingDown
sitting_down624.jpg is predicted to be sittingDown
sitting_down1428.jpg is predicted to be sittingDown
sitting_down5100.jpg is predicted to be sittingDown
sitting_down354.jpg is predicted to be sittingDown
sitting_down3029.jpg is predicted to be sittingDown
sitting_down3983.jpg is predicted to be sittingDown
sitting_down1170.jpg is predicted to be sittingDown
sitting_down3987.jpg is predicted to be sittingDown
sitting_down350.jpg is predicted to be sittingDown
sitting_down3763.jpg is predicted to be sittingDown
sitting_down2469.jpg is predicted to be sittingDown
sitting_down3950.jpg is predicted to be sittingDown
sitting_down620.jpg is predicted to be sittingDown
sitting_down2643.jpg is predicted to be sittingDown
sitting_down5138.jpg is predicted to be sittingDown
sitting_down191.jpg is predicted to be sittingDown
sitting_down3401.jpg is predicted to be sittingDown
